economy,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,39.28,39.28,39.28,39.28,39.28,39.28,39.28,38.81833333333,36.5675,47.5,47.5,47.5,46.62166666667,47.35666666667,47.49666666667,47.26,48.76333333333,47.84583333333,49.495,49.92666666667,49.9625,50.24916666667,50.325,46.4525,46.7475,50.92166666667,55.3775,57.2475,61.14333333333,67.86583333333,68.02583333333,72.08333333333,77.73833333333,76.815,77.342,,
AGO,,,,,,,4903.56071588758,122750.804186264,516812.687835746,110941.426903954,228814.834518086,273251.932260961,168333.89072991,9.42733109041,21.18326031472,42.13728188912,73.68965148706,83.41305315075,87.1439124851,80.37037555603,76.80824877737,75.00563564841,79.17719331592,91.9010420086,93.71581675529,95.33128868577,96.51680789024,98.41657653554,120.09683087253,165.21088858774,167.06375946749,253.37585277891,364.17889784491,578.36241164047,631.14948982017,461.76781170086,677.54929460177
ALB,,,,,,84.90540003079,115.56161798175,104.31215959544,101.88901877986,101.80283426658,148.67271567006,152.4995820132,137.46766719995,143.85153829836,143.62845959988,140.21279600351,121.2605530852,102.69741420415,99.84388124255,98.10193859794,90.35013869283,83.90876220277,94.94451898645,104.03330311657,100.91972733547,108.15736580871,105.68689517065,105.5437531448,125.88519215874,124.17585971659,119.0651545552,108.01029060272,109.86627618577,108.63496106249,103.50138091317,113.04621026649,101.33774088214
AME,41.33881296648,36.81592310825,36.00874501345,37.7503214373,37.50556691964,38.11553763083,37.21192327837,36.24998319963,34.35895499954,36.87507165438,42.73097450056,57.49916634376,49.29857671556,47.04896138349,53.33308885958,52.43933570127,49.5767999228,47.29377752527,43.76802997713,42.2723382078,41.57889865584,45.32620699128,49.78669255521,45.48792050196,43.14558689629,43.75599608208,44.59252382675,44.18078605647,48.25226030488,47.89639971322,47.31290309339,46.17990512886,48.08320933783,48.28535796804,47.47050313228,54.2670110786,55.65402829947
ANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,3.675,3.675,3.675,3.67496376812,3.6751884058,3.67387434124,3.67529604273,3.67475925089,3.67290079365,3.67218398974,3.67219318966,3.673,3.6728809367,3.67299603175,3.67299583333,3.67299621212,3.673,3.67331776696,3.67311004454,3.67323357331,3.67248300003,3.67292373032,3.67295075758,3.67299276931,3.673,3.67300416667,3.673,3.673,3.67299224387,3.67299603175,3.673,3.673,3.673,3.673,3.673,3.673,3.673
ARG,0.00021279488,0.00087362275,0.0422281474,0.48635933367,0.95114824836,0.99172218223,0.99897867887,0.99899760885,1.00078286279,1.00014423741,0.99999221014,1.0,0.99965568339,0.9998913467,0.99988635344,3.09818028107,2.94748706161,2.94121247804,2.92242946625,3.07453508964,3.11565424509,3.16299213172,3.72922761544,3.91167975093,4.12933003953,4.5508566629,5.47851739209,8.12070690602,9.25663541114,14.75874229099,16.54435255433,28.14306638411,48.22679699518,70.64935600767,95.08450260864,130.68540081953,264.93499893871
ARM,,,,,,1.11444444444,9.105,288.65083333333,405.90833333333,414.04083333333,490.84666666667,504.915,535.06166666667,539.52583333333,555.0775,573.35333333333,578.7625,533.45166666667,457.6875,416.04,342.07833333333,305.96916666667,363.28333333333,373.66083333333,372.50166666667,401.76416666667,409.625,415.91833333333,477.91833333333,480.48833333333,482.71666666667,482.9875,480.445,489.00916666667,503.77,435.66583333333,390.273
ATG,2.69,2.69,2.69,2.69,2.69,2.69,2.69385061798,2.69927867181,2.69989888011,2.69992753623,2.69692510509,2.69710179434,2.69729939143,2.68820804316,2.67911011513,2.69535574691,2.66847257513,2.68000620334,2.68231666039,2.69723781291,2.69791016532,2.66129387822,2.69176136364,2.7,2.7,2.7,2.7,2.7,2.7,2.69672772759,2.68355455509,2.69790691203,170.77271120757,2.69843918219,2.69880456349,2.7,2.7
